probe	filter type	method	number of oscillations	period	amplitude	phase	R square	pvalue	qvalue	FDR-BH	
ct15-box1	-1	LSPR	1	23.85	0.300837	14.9336	0.807283	0.000605536	6.9608e-005	0.00103806	
ct16-box1	-1	LSPR	1	24.3	0.322235	15.925	0.721788	0.00316005	0.000334578	0.00498955	
ct17-box1	-1	LSPR	1	23.85	0.300837	17.1414	0.807283	0.000605536	6.9608e-005	0.00103806	
ct18-box1	-1	LSPR	1	23.6	0.305464	18.3361	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct19-box1	-1	LSPR	1	23.55	0.335614	19.374	0.893385	4.21875e-005	8.93341e-006	0.000133224	
ct20-box1	-1	LSPR	1	23.65	0.386746	20.1946	0.857046	0.0001579	2.3529e-005	0.000350888	
ct21-box1	-1	LSPR	1	23.9	0.356533	21.0519	0.952394	1.12062e-006	5.00961e-007	7.47081e-006	
ct22-box1	-1	LSPR	1	24	0.34641	22	1	0	0	0	
ct23-box1	-1	LSPR	1	23.9	0.356533	22.9481	0.952394	1.12062e-006	5.00961e-007	7.47081e-006	
ct00-box2	-1	LSPR	1	22.55	0.197987	1.42859	0.403368	0.0978765	0.00698384	0.10415	
ct01-box2	-1	LSPR	1	22.55	0.17624	2.26496	0.572469	0.0218452	0.00183106	0.0273065	
ct02-box2	-1	LSPR	1	22.55	0.166255	3.26486	0.694462	0.00481721	0.000484532	0.00722581	
ct03-box2	-1	LSPR	1	22.5	0.170286	4.34706	0.518806	0.0371913	0.00287756	0.042913	
ct04-box2	-1	LSPR	1	22.45	0.187354	5.30526	0.339101	0.155099	0.0104003	0.155099	
ct05-box2	-1	LSPR	1	23.3	0.154929	5.60335	0.467309	0.0587676	0.00437856	0.0652974	
ct06-box2	-1	LSPR	1	25.1	0.145606	5.7357	0.645301	0.00942687	0.000903037	0.013467	
ct07-box2	-1	LSPR	1	25.8	0.164491	6.51607	0.563648	0.0239479	0.00192701	0.0287375	
ct08-box2	-1	LSPR	1	25.7	0.195098	7.50779	0.399615	0.100678	0.00698384	0.10415	
ct09-box2	-1	LSPR	1	24.8	0.180693	8.85945	0.599462	0.0162891	0.00148947	0.0222124	
ct10-box2	-1	LSPR	1	24.5	0.176136	9.75	0.755698	0.00176066	0.000191452	0.00285512	
ct11-box2	-1	LSPR	1	24.8	0.180693	10.3406	0.599462	0.0162891	0.00148947	0.0222124	
ct12-box2	-1	LSPR	1	25.7	0.195098	10.7922	0.399615	0.100678	0.00698384	0.10415	
ct13-box2	-1	LSPR	1	25.8	0.164491	11.6839	0.563648	0.0239479	0.00192701	0.0287375	
ct14-box2	-1	LSPR	1	25.1	0.145606	13.1643	0.645301	0.00942687	0.000903037	0.013467	
ct15-box2	-1	LSPR	1	23.3	0.154929	15.0967	0.467309	0.0587676	0.00437856	0.0652974	
ct16-box2	-1	LSPR	1	22.45	0.187354	16.2447	0.339101	0.155099	0.0104003	0.155099	
ct17-box2	-1	LSPR	1	22.5	0.170286	17.1529	0.518806	0.0371913	0.00287756	0.042913	
ct18-box2	-1	LSPR	1	22.55	0.166255	18.1851	0.694462	0.00481721	0.000484532	0.00722581	
ct19-box2	-1	LSPR	1	22.55	0.17624	19.185	0.572469	0.0218452	0.00183106	0.0273065	
ct20-box2	-1	LSPR	1	22.55	0.197987	20.0214	0.403368	0.0978765	0.00698384	0.10415	
ct21-box2	-1	LSPR	1	23.1	0.177735	20.9565	0.595312	0.0170625	0.00149235	0.0222554	
ct22-box2	-1	LSPR	1	23.35	0.171443	22	0.757483	0.00170349	0.000190381	0.00283915	
ct23-box2	-1	LSPR	1	23.1	0.177735	23.0435	0.595312	0.0170625	0.00149235	0.0222554	
ct00-sine	-1	LSPR	1	23.8	0.320682	23.7477	0.944263	2.2785e-006	8.33382e-007	1.24282e-005	
ct01-sine	-1	LSPR	1	23.7	0.285269	0.897513	0.922129	1.02609e-005	2.75221e-006	4.10436e-005	
ct02-sine	-1	LSPR	1	23.6	0.267951	2.06393	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct03-sine	-1	LSPR	1	23.6	0.260903	3.23179	0.839956	0.00026247	3.40647e-005	0.000508006	
ct04-sine	-1	LSPR	1	23.7	0.276886	4.225	0.813874	0.00051776	6.31251e-005	0.000941382	
ct05-sine	-1	LSPR	1	23.6	0.260903	5.36821	0.839956	0.00026247	3.40647e-005	0.000508006	
ct06-sine	-1	LSPR	1	23.6	0.267951	6.53607	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct07-sine	-1	LSPR	1	23.7	0.285269	7.55249	0.922129	1.02609e-005	2.75221e-006	4.10436e-005	
ct08-sine	-1	LSPR	1	23.8	0.320682	8.35232	0.944263	2.2785e-006	8.33382e-007	1.24282e-005	
ct09-sine	-1	LSPR	1	23.95	0.304511	9.10576	0.982819	1.14204e-008	9.18966e-009	1.37045e-007	
ct10-sine	-1	LSPR	1	24	0.303869	10	1	0	0	0	
ct11-sine	-1	LSPR	1	23.95	0.304511	10.9442	0.982819	1.14204e-008	9.18966e-009	1.37045e-007	
ct12-sine	-1	LSPR	1	23.8	0.320682	11.8477	0.944263	2.2785e-006	8.33382e-007	1.24282e-005	
ct13-sine	-1	LSPR	1	23.7	0.285269	12.7475	0.922129	1.02609e-005	2.75221e-006	4.10436e-005	
ct14-sine	-1	LSPR	1	23.6	0.267951	13.8639	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct15-sine	-1	LSPR	1	23.6	0.260903	15.0318	0.839956	0.00026247	3.40647e-005	0.000508006	
ct16-sine	-1	LSPR	1	23.7	0.276886	16.075	0.813874	0.00051776	6.31251e-005	0.000941382	
ct17-sine	-1	LSPR	1	23.6	0.260903	17.1682	0.839956	0.00026247	3.40647e-005	0.000508006	
ct18-sine	-1	LSPR	1	23.6	0.267951	18.3361	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct19-sine	-1	LSPR	1	23.7	0.285269	19.4025	0.922129	1.02609e-005	2.75221e-006	4.10436e-005	
ct20-sine	-1	LSPR	1	23.8	0.320682	20.2523	0.944263	2.2785e-006	8.33382e-007	1.24282e-005	
ct21-sine	-1	LSPR	1	23.95	0.304511	21.0808	0.982819	1.14204e-008	9.18966e-009	1.37045e-007	
ct22-sine	-1	LSPR	1	24	0.303869	22	1	0	0	0	
ct23-sine	-1	LSPR	1	23.95	0.304511	22.9192	0.982819	1.14204e-008	9.18966e-009	1.37045e-007	
