probe	0	4	8	12	16	20	24	28	32	36	40	44
ct16-spike	0.4	0.4	0.4	0.4	1	0.4	0.4	0.4	0.4	0.4	1	0.4
ct17-spike	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824
ct18-spike	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1
ct19-spike	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1
ct20-spike	0.4	0.4	0.4	0.4	0.4	1	0.4	0.4	0.4	0.4	0.4	1
ct21-spike	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1
ct22-spike	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1
ct23-spike	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824
ct00-box1	1	1	0.4	0.4	0.4	1	1	1	0.4	0.4	0.4	1
ct01-box1	1	1	0.55	0.4	0.4	0.85	1	1	0.55	0.4	0.4	0.85
ct02-box1	1	1	0.7	0.4	0.4	0.7	1	1	0.7	0.4	0.4	0.7
ct03-box1	1	1	0.85	0.4	0.4	0.55	1	1	0.85	0.4	0.4	0.55
ct04-box1	1	1	1	0.4	0.4	0.4	1	1	1	0.4	0.4	0.4
ct05-box1	0.85	1	1	0.55	0.4	0.4	0.85	1	1	0.55	0.4	0.4
ct06-box1	0.7	1	1	0.7	0.4	0.4	0.7	1	1	0.7	0.4	0.4
ct07-box1	0.55	1	1	0.85	0.4	0.4	0.55	1	1	0.85	0.4	0.4
ct08-box1	0.4	1	1	1	0.4	0.4	0.4	1	1	1	0.4	0.4
ct09-box1	0.4	0.85	1	1	0.55	0.4	0.4	0.85	1	1	0.55	0.4
ct10-box1	0.4	0.7	1	1	0.7	0.4	0.4	0.7	1	1	0.7	0.4
ct11-box1	0.4	0.55	1	1	0.85	0.4	0.4	0.55	1	1	0.85	0.4
ct12-box1	0.4	0.4	1	1	1	0.4	0.4	0.4	1	1	1	0.4
ct13-box1	0.4	0.4	0.85	1	1	0.55	0.4	0.4	0.85	1	1	0.55
ct14-box1	0.4	0.4	0.7	1	1	0.7	0.4	0.4	0.7	1	1	0.7
ct15-box1	0.4	0.4	0.55	1	1	0.85	0.4	0.4	0.55	1	1	0.85
ct16-box1	0.4	0.4	0.4	1	1	1	0.4	0.4	0.4	1	1	1
ct17-box1	0.55	0.4	0.4	0.85	1	1	0.55	0.4	0.4	0.85	1	1
ct18-box1	0.7	0.4	0.4	0.7	1	1	0.7	0.4	0.4	0.7	1	1
ct19-box1	0.85	0.4	0.4	0.55	1	1	0.85	0.4	0.4	0.55	1	1
ct20-box1	1	0.4	0.4	0.4	1	1	1	0.4	0.4	0.4	1	1
ct21-box1	1	0.55	0.4	0.4	0.85	1	1	0.55	0.4	0.4	0.85	1
ct22-box1	1	0.7	0.4	0.4	0.7	1	1	0.7	0.4	0.4	0.7	1
ct23-box1	1	0.85	0.4	0.4	0.55	1	1	0.85	0.4	0.4	0.55	1
ct00-box2	1	1	1	0.4	1	1	1	1	1	0.4	1	1
ct01-box2	1	1	1	0.55	0.85	1	1	1	1	0.55	0.85	1
ct02-box2	1	1	1	0.7	0.7	1	1	1	1	0.7	0.7	1
ct03-box2	1	1	1	0.85	0.55	1	1	1	1	0.85	0.55	1
ct04-box2	1	1	1	1	0.4	1	1	1	1	1	0.4	1
ct05-box2	1	1	1	1	0.55	0.85	1	1	1	1	0.55	0.85
ct06-box2	1	1	1	1	0.7	0.7	1	1	1	1	0.7	0.7
ct07-box2	1	1	1	1	0.85	0.55	1	1	1	1	0.85	0.55
ct08-box2	1	1	1	1	1	0.4	1	1	1	1	1	0.4
ct09-box2	0.85	1	1	1	1	0.55	0.85	1	1	1	1	0.55
ct10-box2	0.7	1	1	1	1	0.7	0.7	1	1	1	1	0.7
ct11-box2	0.55	1	1	1	1	0.85	0.55	1	1	1	1	0.85
ct12-box2	0.4	1	1	1	1	1	0.4	1	1	1	1	1
ct13-box2	0.55	0.85	1	1	1	1	0.55	0.85	1	1	1	1
ct14-box2	0.7	0.7	1	1	1	1	0.7	0.7	1	1	1	1
ct15-box2	0.85	0.55	1	1	1	1	0.85	0.55	1	1	1	1
ct16-box2	1	0.4	1	1	1	1	1	0.4	1	1	1	1
ct17-box2	1	0.55	0.85	1	1	1	1	0.55	0.85	1	1	1
ct18-box2	1	0.7	0.7	1	1	1	1	0.7	0.7	1	1	1
ct19-box2	1	0.85	0.55	1	1	1	1	0.85	0.55	1	1	1
ct20-box2	1	1	0.4	1	1	1	1	1	0.4	1	1	1
ct21-box2	1	1	0.55	0.85	1	1	1	1	0.55	0.85	1	1
ct22-box2	1	1	0.7	0.7	1	1	1	1	0.7	0.7	1	1
ct23-box2	1	1	0.85	0.55	1	1	1	1	0.85	0.55	1	1
ct00-sine	1	0.9	0.5	0.4	0.5	0.9	1	0.9	0.5	0.4	0.5	0.9
ct01-sine	1	0.948717949	0.615384615	0.435897436	0.487179487	0.820512821	1	0.948717949	0.615384615	0.435897436	0.487179487	0.820512821
ct02-sine	1	1	0.736842105	0.473684211	0.473684211	0.736842105	1	1	0.736842105	0.473684211	0.473684211	0.736842105
ct03-sine	0.948717949	1	0.820512821	0.487179487	0.435897436	0.615384615	0.948717949	1	0.820512821	0.487179487	0.435897436	0.615384615
ct04-sine	0.9	1	0.9	0.5	0.4	0.5	0.9	1	0.9	0.5	0.4	0.5
ct05-sine	0.820512821	1	0.948717949	0.615384615	0.435897436	0.487179487	0.820512821	1	0.948717949	0.615384615	0.435897436	0.487179487
ct06-sine	0.736842105	1	1	0.736842105	0.473684211	0.473684211	0.736842105	1	1	0.736842105	0.473684211	0.473684211
ct07-sine	0.615384615	0.948717949	1	0.820512821	0.487179487	0.435897436	0.615384615	0.948717949	1	0.820512821	0.487179487	0.435897436
ct08-sine	0.5	0.9	1	0.9	0.5	0.4	0.5	0.9	1	0.9	0.5	0.4
ct09-sine	0.487179487	0.820512821	1	0.948717949	0.615384615	0.435897436	0.487179487	0.820512821	1	0.948717949	0.615384615	0.435897436
ct10-sine	0.473684211	0.736842105	1	1	0.736842105	0.473684211	0.473684211	0.736842105	1	1	0.736842105	0.473684211
ct11-sine	0.435897436	0.615384615	0.948717949	1	0.820512821	0.487179487	0.435897436	0.615384615	0.948717949	1	0.820512821	0.487179487
ct12-sine	0.4	0.5	0.9	1	0.9	0.5	0.4	0.5	0.9	1	0.9	0.5
ct13-sine	0.435897436	0.487179487	0.820512821	1	0.948717949	0.615384615	0.435897436	0.487179487	0.820512821	1	0.948717949	0.615384615
ct14-sine	0.473684211	0.473684211	0.736842105	1	1	0.736842105	0.473684211	0.473684211	0.736842105	1	1	0.736842105
ct15-sine	0.487179487	0.435897436	0.615384615	0.948717949	1	0.820512821	0.487179487	0.435897436	0.615384615	0.948717949	1	0.820512821
ct16-sine	0.5	0.4	0.5	0.9	1	0.9	0.5	0.4	0.5	0.9	1	0.9
ct17-sine	0.615384615	0.435897436	0.487179487	0.820512821	1	0.948717949	0.615384615	0.435897436	0.487179487	0.820512821	1	0.948717949
ct18-sine	0.736842105	0.473684211	0.473684211	0.736842105	1	1	0.736842105	0.473684211	0.473684211	0.736842105	1	1
ct19-sine	0.820512821	0.487179487	0.435897436	0.615384615	0.948717949	1	0.820512821	0.487179487	0.435897436	0.615384615	0.948717949	1
ct20-sine	0.9	0.5	0.4	0.5	0.9	1	0.9	0.5	0.4	0.5	0.9	1
ct21-sine	0.948717949	0.615384615	0.435897436	0.487179487	0.820512821	1	0.948717949	0.615384615	0.435897436	0.487179487	0.820512821	1
ct22-sine	1	0.736842105	0.473684211	0.473684211	0.736842105	1	1	0.736842105	0.473684211	0.473684211	0.736842105	1
ct23-sine	1	0.820512821	0.487179487	0.435897436	0.615384615	0.948717949	1	0.820512821	0.487179487	0.435897436	0.615384615	0.948717949
